type,year,state_name,state_code,organ,counts
Transplant Recipients,2017,Idaho,ID,Liver,33
Transplant Recipients,2017,Idaho,ID,Lung,0
Transplant Recipients,2017,Idaho,ID,Pancreas,0
Transplant Recipients,2017,Illinois,IL,All,1502
Transplant Recipients,2017,Illinois,IL,Heart,146
Transplant Recipients,2017,Illinois,IL,Kidney,894
Transplant Recipients,2017,Illinois,IL,Kidney-Pancreas,53
Transplant Recipients,2017,Illinois,IL,Liver,328
Transplant Recipients,2017,Illinois,IL,Lung,110
Transplant Recipients,2017,Illinois,IL,Pancreas,16
Transplant Recipients,2017,Indiana,IN,All,630
Transplant Recipients,2017,Indiana,IN,Heart,77
Transplant Recipients,2017,Indiana,IN,Kidney,307
Transplant Recipients,2017,Indiana,IN,Kidney-Pancreas,23
Transplant Recipients,2017,Indiana,IN,Liver,164
Transplant Recipients,2017,Indiana,IN,Lung,67
Transplant Recipients,2017,Indiana,IN,Pancreas,0
Transplant Recipients,2017,Iowa,IA,All,304
Transplant Recipients,2017,Iowa,IA,Heart,36
Transplant Recipients,2017,Iowa,IA,Kidney,194
Transplant Recipients,2017,Iowa,IA,Kidney-Pancreas,0
Transplant Recipients,2017,Iowa,IA,Liver,58
Transplant Recipients,2017,Iowa,IA,Lung,0
Transplant Recipients,2017,Iowa,IA,Pancreas,0
Transplant Recipients,2017,Kansas,KS,All,316
Transplant Recipients,2017,Kansas,KS,Heart,36
Transplant Recipients,2017,Kansas,KS,Kidney,181
Transplant Recipients,2017,Kansas,KS,Kidney-Pancreas,0
Transplant Recipients,2017,Kansas,KS,Liver,75
Transplant Recipients,2017,Kansas,KS,Lung,27
Transplant Recipients,2017,Kansas,KS,Pancreas,0
Transplant Recipients,2017,Kentucky,KY,All,447
Transplant Recipients,2017,Kentucky,KY,Heart,55
Transplant Recipients,2017,Kentucky,KY,Kidney,243
Transplant Recipients,2017,Kentucky,KY,Kidney-Pancreas,19
Transplant Recipients,2017,Kentucky,KY,Liver,93
Transplant Recipients,2017,Kentucky,KY,Lung,45
Transplant Recipients,2017,Kentucky,KY,Pancreas,0
Transplant Recipients,2017,Louisiana,LA,All,513
Transplant Recipients,2017,Louisiana,LA,Heart,43
Transplant Recipients,2017,Louisiana,LA,Kidney,260
Transplant Recipients,2017,Louisiana,LA,Kidney-Pancreas,28
Transplant Recipients,2017,Louisiana,LA,Liver,157
Transplant Recipients,2017,Louisiana,LA,Lung,44
Transplant Recipients,2017,Louisiana,LA,Pancreas,0
Transplant Recipients,2017,Maine,ME,All,138
Transplant Recipients,2017,Maine,ME,Heart,0
Transplant Recipients,2017,Maine,ME,Kidney,74
Transplant Recipients,2017,Maine,ME,Kidney-Pancreas,0
Transplant Recipients,2017,Maine,ME,Liver,39
Transplant Recipients,2017,Maine,ME,Lung,0
Transplant Recipients,2017,Maine,ME,Pancreas,0
Transplant Recipients,2017,Maryland,MD,All,915
Transplant Recipients,2017,Maryland,MD,Heart,69
Transplant Recipients,2017,Maryland,MD,Kidney,510
Transplant Recipients,2017,Maryland,MD,Kidney-Pancreas,36
Transplant Recipients,2017,Maryland,MD,Liver,281
Transplant Recipients,2017,Maryland,MD,Lung,52
Transplant Recipients,2017,Maryland,MD,Pancreas,0
Transplant Recipients,2017,Massachusetts,MA,All,706
Transplant Recipients,2017,Massachusetts,MA,Heart,68
Transplant Recipients,2017,Massachusetts,MA,Kidney,410
Transplant Recipients,2017,Massachusetts,MA,Kidney-Pancreas,0
Transplant Recipients,2017,Massachusetts,MA,Liver,175
Transplant Recipients,2017,Massachusetts,MA,Lung,60
Transplant Recipients,2017,Massachusetts,MA,Pancreas,0
Transplant Recipients,2017,Michigan,MI,All,995
Transplant Recipients,2017,Michigan,MI,Heart,69
Transplant Recipients,2017,Michigan,MI,Kidney,604
Transplant Recipients,2017,Michigan,MI,Kidney-Pancreas,22
Transplant Recipients,2017,Michigan,MI,Liver,231
Transplant Recipients,2017,Michigan,MI,Lung,86
Transplant Recipients,2017,Michigan,MI,Pancreas,0
Transplant Recipients,2017,Minnesota,MN,All,614
Transplant Recipients,2017,Minnesota,MN,Heart,57
Transplant Recipients,2017,Minnesota,MN,Kidney,371
Transplant Recipients,2017,Minnesota,MN,Kidney-Pancreas,19
Transplant Recipients,2017,Minnesota,MN,Liver,125
Transplant Recipients,2017,Minnesota,MN,Lung,49
Transplant Recipients,2017,Minnesota,MN,Pancreas,0
Transplant Recipients,2017,Mississippi,MS,All,322
Transplant Recipients,2017,Mississippi,MS,Heart,33
Transplant Recipients,2017,Mississippi,MS,Kidney,185
Transplant Recipients,2017,Mississippi,MS,Kidney-Pancreas,0
Transplant Recipients,2017,Mississippi,MS,Liver,100
Transplant Recipients,2017,Mississippi,MS,Lung,0
Transplant Recipients,2017,Mississippi,MS,Pancreas,0
Transplant Recipients,2017,Missouri,MO,All,640
Transplant Recipients,2017,Missouri,MO,Heart,57
Transplant Recipients,2017,Missouri,MO,Kidney,372
Transplant Recipients,2017,Missouri,MO,Kidney-Pancreas,17
Transplant Recipients,2017,Missouri,MO,Liver,155
Transplant Recipients,2017,Missouri,MO,Lung,54
Transplant Recipients,2017,Missouri,MO,Pancreas,0
Transplant Recipients,2017,Montana,MT,All,52
Transplant Recipients,2017,Montana,MT,Heart,0
Transplant Recipients,2017,Montana,MT,Kidney,32
Transplant Recipients,2017,Montana,MT,Kidney-Pancreas,0
Transplant Recipients,2017,Montana,MT,Liver,0
Transplant Recipients,2017,Montana,MT,Lung,0
Transplant Recipients,2017,Montana,MT,Pancreas,0
Transplant Recipients,2017,Nebraska,NE,All,221
Transplant Recipients,2017,Nebraska,NE,Heart,30
Transplant Recipients,2017,Nebraska,NE,Kidney,133
Transplant Recipients,2017,Nebraska,NE,Kidney-Pancreas,0
Transplant Recipients,2017,Nebraska,NE,Liver,49
Transplant Recipients,2017,Nebraska,NE,Lung,0
Transplant Recipients,2017,Nebraska,NE,Pancreas,0
Transplant Recipients,2017,Nevada,NV,All,204
Transplant Recipients,2017,Nevada,NV,Heart,22
Transplant Recipients,2017,Nevada,NV,Kidney,121
Transplant Recipients,2017,Nevada,NV,Kidney-Pancreas,0
Transplant Recipients,2017,Nevada,NV,Liver,40
Transplant Recipients,2017,Nevada,NV,Lung,18
Transplant Recipients,2017,Nevada,NV,Pancreas,0
Transplant Recipients,2017,New Hampshire,NH,All,139
Transplant Recipients,2017,New Hampshire,NH,Heart,0
Transplant Recipients,2017,New Hampshire,NH,Kidney,68
Transplant Recipients,2017,New Hampshire,NH,Kidney-Pancreas,0
Transplant Recipients,2017,New Hampshire,NH,Liver,44
Transplant Recipients,2017,New Hampshire,NH,Lung,0
Transplant Recipients,2017,New Hampshire,NH,Pancreas,0
Transplant Recipients,2017,New Jersey,NJ,All,979
Transplant Recipients,2017,New Jersey,NJ,Heart,91
Transplant Recipients,2017,New Jersey,NJ,Kidney,623
Transplant Recipients,2017,New Jersey,NJ,Kidney-Pancreas,16
Transplant Recipients,2017,New Jersey,NJ,Liver,177
Transplant Recipients,2017,New Jersey,NJ,Lung,92
Transplant Recipients,2017,New Jersey,NJ,Pancreas,0
Transplant Recipients,2017,New Mexico,NM,All,185
Transplant Recipients,2017,New Mexico,NM,Heart,0
Transplant Recipients,2017,New Mexico,NM,Kidney,124
Transplant Recipients,2017,New Mexico,NM,Kidney-Pancreas,0
Transplant Recipients,2017,New Mexico,NM,Liver,39
Transplant Recipients,2017,New Mexico,NM,Lung,0
Transplant Recipients,2017,New Mexico,NM,Pancreas,0
Transplant Recipients,2017,New York,NY,All,2186
Transplant Recipients,2017,New York,NY,Heart,197
Transplant Recipients,2017,New York,NY,Kidney,1515
Transplant Recipients,2017,New York,NY,Kidney-Pancreas,30
Transplant Recipients,2017,New York,NY,Liver,380
Transplant Recipients,2017,New York,NY,Lung,108
Transplant Recipients,2017,New York,NY,Pancreas,18
Transplant Recipients,2017,North Carolina,NC,All,950
Transplant Recipients,2017,North Carolina,NC,Heart,107
Transplant Recipients,2017,North Carolina,NC,Kidney,590
Transplant Recipients,2017,North Carolina,NC,Kidney-Pancreas,25
Transplant Recipients,2017,North Carolina,NC,Liver,177
Transplant Recipients,2017,North Carolina,NC,Lung,66
Transplant Recipients,2017,North Carolina,NC,Pancreas,0
Transplant Recipients,2017,North Dakota,ND,All,68
Transplant Recipients,2017,North Dakota,ND,Heart,0
Transplant Recipients,2017,North Dakota,ND,Kidney,47
Transplant Recipients,2017,North Dakota,ND,Kidney-Pancreas,0
Transplant Recipients,2017,North Dakota,ND,Liver,0
